County,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Autauga County,0.2367,0.3675,0.6354,0.2358,0.2663
Baldwin County,0.3433,0.2883,0.489,0.4308,0.3487
Barbour County,0.9399,0.9399,0.8941,0.9959,0.9927
Bibb County,0.8893,0.4954,0.6185,0.8931,0.8451
Blount County,0.6866,0.7884,0.413,0.3532,0.6166
Bullock County,0.8654,0.5138,0.9809,0.9491,0.8985
Butler County,0.8441,0.6106,0.8661,0.217,0.6872
Calhoun County,0.854,0.65,0.658,0.7114,0.8145
Chambers County,0.7171,0.5317,0.8396,0.9469,0.8295
Cherokee County,0.6077,0.6494,0.2628,0.1152,0.406
Chilton County,0.5924,0.6837,0.5425,0.2698,0.5336
Choctaw County,0.6901,0.798,0.8151,0.2539,0.6548
Clarke County,0.8412,0.7264,0.8641,0.6462,0.8365
Clay County,0.7235,0.3688,0.5269,0.5851,0.6223
Cleburne County,0.4938,0.6739,0.1985,0.5482,0.5196
Coffee County,0.6497,0.9488,0.6806,0.2323,0.6802
Colbert County,0.4944,0.6984,0.5644,0.16,0.4467
Conecuh County,0.5272,0.5332,0.8727,0.2482,0.5122
Coosa County,0.3513,0.328,0.7321,0.6427,0.4808
Covington County,0.7509,0.7821,0.4839,0.5075,0.7121
Crenshaw County,0.7588,0.6201,0.6656,0.4575,0.685
Cullman County,0.5323,0.713,0.2587,0.3341,0.4909
Dale County,0.8648,0.9014,0.7003,0.2736,0.7766
Dallas County,0.9555,0.867,0.9698,0.594,0.9189
DeKalb County,0.7996,0.8139,0.5425,0.5017,0.756
Elmore County,0.3185,0.3869,0.6373,0.5667,0.4397
Escambia County,0.9462,0.7353,0.7814,0.4986,0.8473
Etowah County,0.7961,0.7544,0.574,0.2911,0.672
Fayette County,0.8514,0.4788,0.4556,0.6914,0.7458
Franklin County,0.6675,0.9491,0.6045,0.4846,0.7576
Geneva County,0.6729,0.6427,0.5161,0.3509,0.5822
Greene County,0.9211,0.8425,0.9857,0.7254,0.9157
Hale County,0.9341,0.5072,0.9259,0.8148,0.8826
Henry County,0.6519,0.5695,0.6726,0.4677,0.6195
Houston County,0.7703,0.7499,0.7251,0.3936,0.7175
Jackson County,0.8552,0.8136,0.328,0.3783,0.7194
Jefferson County,0.6802,0.6109,0.8766,0.6017,0.7251
Lamar County,0.5654,0.4718,0.413,0.3395,0.4731
Lauderdale County,0.4687,0.4219,0.4636,0.5568,0.4919
Lawrence County,0.4652,0.3878,0.5867,0.1833,0.3624
Lee County,0.5609,0.2046,0.7038,0.9023,0.6446
Limestone County,0.3,0.2574,0.6115,0.399,0.3233
Lowndes County,0.9679,0.7642,0.9755,0.5813,0.9042
Macon County,0.9618,0.6185,0.9866,0.9765,0.9656
Madison County,0.2813,0.3369,0.7423,0.3723,0.3509
Marengo County,0.5434,0.7741,0.8953,0.4932,0.6691
Marion County,0.8565,0.4368,0.2587,0.6507,0.6946
Marshall County,0.6223,0.9087,0.5425,0.2504,0.6201
Mobile County,0.8629,0.623,0.8212,0.7095,0.8304
Monroe County,0.9119,0.2997,0.8473,0.4871,0.7416
Montgomery County,0.9036,0.8762,0.9542,0.8069,0.929
Morgan County,0.5396,0.8142,0.6179,0.6258,0.6787
Perry County,0.9456,0.7976,0.9653,0.7324,0.9214
Pickens County,0.7646,0.9268,0.8482,0.8387,0.8918
Pike County,0.8218,0.2634,0.8279,0.8906,0.8002
Randolph County,0.4998,0.6857,0.6128,0.4598,0.559
Russell County,0.9504,0.8925,0.8976,0.4897,0.8963
St. Clair County,0.3048,0.1893,0.4378,0.3287,0.2587
Shelby County,0.0735,0.2453,0.5927,0.1842,0.1238
Sumter County,0.9185,0.6997,0.9736,0.9004,0.9255
Talladega County,0.889,0.8291,0.7579,0.8689,0.908
Tallapoosa County,0.8139,0.9526,0.6847,0.6637,0.8692
Tuscaloosa County,0.6319,0.1371,0.776,0.8584,0.651
Walker County,0.741,0.8352,0.3649,0.3166,0.6398
Washington County,0.5962,0.1158,0.72,0.1145,0.3217
Wilcox County,0.9609,0.9691,0.9685,0.8479,0.9819
Winston County,0.6946,0.8352,0.1928,0.4079,0.6125
Aleutians East Borough,0.651,0.1184,0.987,0.9898,0.7754
Aleutians West Census Area,0.2555,0.0159,0.9787,0.9955,0.5033
Anchorage Municipality,0.4044,0.3901,0.8291,0.8241,0.6052
Bethel Census Area,0.8963,0.6392,0.9949,0.9777,0.9424
Bristol Bay Borough,0.1171,0.0019,0.896,0.9516,0.2332
Chugach Census Area,0.4292,0.3627,0.658,0.9844,0.6876
