PLACEKEY,LATITUDE,LONGITUDE,STREET_ADDRESS,CITY,REGION,POSTAL_CODE,PARENT_PLACEKEY,TOP_CATEGORY,SUB_CATEGORY,placekeys_y,store_names_y
222-229@8dj-f7h-xqz,28.03875,-82.422763,3000 E Busch Blvd,Tampa,FL,33612,zzw-222@8dj-f7j-6tv,Amusement Parks and Arcades,Amusement and Theme Parks,222-229@8dj-f7h-xqz,The Phoenix
zzw-222@5qv-xmk-8jv,33.076279,-96.875493,4400 Paige Rd,The Colony,TX,75056,zzw-222@5qv-xmk-8y9,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@5qv-xmk-8jv,Hawaiian Falls Waterparks
zzw-22n@5z5-389-rhq,34.183369,-118.312418,201 E Magnolia Blvd,Burbank,CA,91502,zzw-24p@5z5-389-rhq,Amusement Parks and Arcades,Amusement Arcades,zzw-22n@5z5-389-rhq,Round One Entertainment
zzy-222@627-zfz-cwk,41.31111,-73.990272,7 Lakes Dr,Bear Mountain,NY,10911,zzy-224@627-zfz-q9f,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@627-zfz-cwk,Bear Mountain Merry Go Round
zzy-223@5z5-9gv-sbk,33.955069,-116.166856,Lost Horse Mine Rd,California,CA,92277,zzy-222@5z6-c66-qmk,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-223@5z5-9gv-sbk,Lost Horse Mine
zzy-222@5qv-y6v-vxq,33.75683,-96.673502,Rr 2,Pottsboro,TX,75076,zzz-222@5qv-y6w-fpv,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5qv-y6v-vxq,Episcopal Recreation Center
zzy-229@63r-vdt-3h5,38.773941,-77.175396,Springfield Mall,Springfield,VA,22150,zzw-229@63r-vdt-389,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-229@63r-vdt-3h5,Time Out Family Amusement Center
zzy-224@5z4-zwg-kj9,33.958336,-118.451676,6819 Pacific Ave,Playa del Rey,CA,90293,zzz-222@5z4-zws-yn5,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-224@5z4-zwg-kj9,Playa Del Rey Beach Volleyball Courts
zzw-222@8fy-8jr-qcq,28.409223,-81.459865,10700 International Dr,Orlando,FL,32821,zzw-222@8fy-8jr-p5f,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@8fy-8jr-qcq,Mako
zzy-222@5sb-88n-m49,42.130497,-88.047885,1103 N Smith St,Palatine,IL,60067,zzz-222@5sb-88n-m49,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5sb-88n-m49,Palatine Park District
zzy-222@63s-xfq-2rk,40.216059,-76.836703,A Ave Bldg 300,New Cumberland,PA,17070,zzw-222@63s-xfp-bhq,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@63s-xfq-2rk,Riverview Golf Course
22b-226@5pv-b7g-xyv,39.781285,-86.044771,973 N Shadeland Ave PMB 168,Indianapolis,IN,46219,227-223@5pv-b7g-xyv,Amusement Parks and Arcades,Amusement and Theme Parks,22b-226@5pv-b7g-xyv,Naptown Roller Derby
229-22h@63m-s3d-rp9,38.422041,-82.266267,500 Mall Rd,Barboursville,WV,25504,229-228@63m-s3d-rp9,Amusement Parks and Arcades,Amusement Arcades,229-22h@63m-s3d-rp9,Fun Time Arcade
zzy-222@5z5-3pk-h89,34.123395,-118.314737,3200 Canyon Dr,Los Angeles,CA,90068,zzz-222@5z5-3pp-bzf,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5z5-3pk-h89,Hollywood Sign Hike
zzw-222@8g8-yvf-49z,35.844928,-84.189292,917 McFee Rd,Knoxville,TN,37934,zzz-222@8g8-yvf-49z,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@8g8-yvf-49z,Fort McFee Water Park
222-222@8th-b95-wc5,34.193279,-110.006403,5800 Show Low Lake Rd,Lakeside,AZ,85929,zzz-222@8th-b99-c89,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@8th-b95-wc5,Show Low Lake
222-223@5sb-7x7-qj9,41.851684,-88.069175,485 Winchell Way,Glen Ellyn,IL,60137,zzw-222@5sb-7x7-nyv,Amusement Parks and Arcades,Amusement and Theme Parks,222-223@5sb-7x7-qj9,Village Links Grill
zzz-222@627-sc2-jd9,40.965153,-73.675109,1 Playland Pkwy,Rye,NY,10580,zzw-222@627-sc2-jd9,Amusement Parks and Arcades,Amusement and Theme Parks,zzz-222@627-sc2-jd9,Playland
226-222@8gf-dpf-w8v,35.146262,-80.74248,9129 Monroe Rd Ste 145-150,Charlotte,NC,28270,224-222@8gf-dpf-w8v,Amusement Parks and Arcades,Amusement Arcades,226-222@8gf-dpf-w8v,BounceU
zzy-222@5qv-v2w-2x5,33.041202,-96.500312,3003 Skyview Dr,Wylie,TX,75098,zzw-222@5qv-v23-jjv,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5qv-v2w-2x5,Avalon Park
228-222@8fc-999-8y9,30.128197,-95.450148,536 Sawdust Rd,Spring,TX,77380,228-223@8fc-999-8y9,Amusement Parks and Arcades,Amusement Arcades,228-222@8fc-999-8y9,Pump It Up
zzy-222@8fv-zy9-6tv,26.026915,-80.114747,2401 N Broadwalk,Hollywood,FL,33019,zzz-222@8fv-zy8-gzf,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@8fv-zy9-6tv,Hollywood Jet Ski
222-222@5vh-bbd-v4v,37.331341,-122.17881,26030 Torello Ln,Los Altos Hills,CA,94022,zzz-222@5vh-b9r-5cq,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5vh-bbd-v4v,Echo Rails & Trails
zzw-222@5z6-3d6-3qz,33.713324,-118.293376,3601 S Gaffey St,San Pedro,CA,90731,zzz-222@5z6-3df-75z,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@5z6-3d6-3qz,San Pedro Youth Hostels
zzw-222@5qv-wy5-r8v,32.943177,-97.03279,2500 Regent Blvd,Dallas,TX,75261,zzw-222@5qv-wy9-pjv,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@5qv-wy5-r8v,Dallas Cowboys Football Club
222-22n@5z4-rwr-jgk,33.842818,-117.998456,8039 Beach Blvd,Buena Park,CA,90620,zzw-228@5z4-rwr-gzf,Amusement Parks and Arcades,Amusement and Theme Parks,222-22n@5z4-rwr-jgk,Log Peeler
222-222@5x6-prq-y35,49.259836,-123.06365,2776 Semlin Dr,Vancouver,BC,V5N 4R6,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@5x6-prq-y35,Camp Fircom
zzy-222@5z7-sf7-kmk,36.909398,-119.747722,11346 12132 N Friant Rd,Fresno,CA,93730,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5z7-sf7-kmk,Copper River Trailhead
222-222@5vg-8n6-grk,38.226345,-122.624661,1100 Petaluma Blvd S,Petaluma,CA,94952,,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5vg-8n6-grk,Lottery Ticket Sales
zzw-222@628-xgz-835,41.325271,-73.096534,1 Park Ave,Derby,CT,06418,,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@628-xgz-835,International Amusement Distributors
zzy-222@8gf-rhw-rff,35.823891,-82.530017,59 Valley Dr,Mars Hill,NC,28754,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@8gf-rhw-rff,Scenic Wolf Resort
zzy-222@8g6-ypw-73q,34.043215,-84.422572,4240 Clubhouse Dr,Roswell,GA,30075,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@8g6-ypw-73q,Loch Highland Clubhouse & Pool
228-226@5z5-2wm-pn5,34.286986,-118.738259,2949 Alamo St,Simi Valley,CA,93063,228-223@5z5-2wm-pn5,RV (Recreational Vehicle) Parks and Recreational Camps,,228-226@5z5-2wm-pn5,Camp Trinity
zzw-223@5v8-nk6-rhq,41.530055,-124.051137,1661 Klamath Beach Blvd,Klamath,CA,95548,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzw-223@5v8-nk6-rhq,Kamp Klamath RV Park and Campground
222-225@5q6-3xc-7kf,39.714193,-105.212215,18301 W Colfax Ave,Golden,CO,80401,,Amusement Parks and Arcades,Amusement and Theme Parks,222-225@5q6-3xc-7kf,Heritage Square General Information
222-222@5s8-9fq-g49,44.977181,-92.682754,589 County Road UU,Hudson,WI,54016,,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5s8-9fq-g49,Hudson Small Equipment & Repair
zzy-225@8gf-f5n-5mk,34.941435,-80.776824,1304 H C Nesbit Park Rd,Waxhaw,NC,28173,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-225@8gf-f5n-5mk,Carolina Thread Trail
zzy-222@5nx-4cq-6tv,42.845734,-97.480119,55256 Ne 121,Crofton,NE,68730,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5nx-4cq-6tv,Lake View Golf Course
zzw-222@5pn-9n8-2zf,36.817417,-87.501533,9503 Eagle Way Byp,Hopkinsville,KY,42240,,Amusement Parks and Arcades,Amusement and Theme Parks,zzw-222@5pn-9n8-2zf,Tie Breaker Family Aquatic Center
zzy-223@629-d24-dsq,41.268948,-72.534026,Riverside Dr Apt,Clinton,CT,06413,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-223@629-d24-dsq,Clinton Dock Master
