FID,sky,tree,road,grass,person,earth,wall,fence,building,plant,car,signboard,awning,streetlight,sidewalk,ashcan,water,mountain,van,bicycle,bridge,railing,column,chair,minibike,fountain,sculpture,pier,booth,ceiling,lake,windowpane,skyscraper,lamp,sofa,bulletin board,desk,glass
zzy-222@628-dx3-fvf_0_18661,0.008887,0.555781,0.323608,0.067595,9.5e-05,0.044033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-dx3-fvf_180_18661,0.065979,0.517622,0.225806,0.101011,0.0,0.003855,5e-06,0.000127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-dx3-fvf_270_18661,0.106919,0.446855,0.092241,0.043218,2.9e-05,0.064497,0.0,0.00854,8.8e-05,0.001951,0.003206,0.000334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-dx3-fvf_90_18661,0.007563,0.614785,0.0,0.092778,0.0,0.270168,0.0,0.0,0.0,0.004722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-gnk-649_0_18302,0.391665,0.10678,0.339624,0.0,0.0,0.104666,8.1e-05,0.01335,0.024414,0.0,0.001541,0.015342,0.000552,0.001165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-gnk-649_180_18302,0.404387,0.073286,0.418374,0.004917,0.0,0.051853,0.0,6.1e-05,0.043252,0.0,0.001189,0.00114,0.0,0.000376,9.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-gnk-649_270_18302,0.435786,0.061665,0.379585,0.0001,0.0,0.045151,0.0,0.035237,0.00906,0.0,0.000403,0.024956,0.0,0.000215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-gnk-649_90_18302,0.291968,0.273589,0.295928,0.002639,0.0,0.123474,0.0,0.0,0.0,0.00083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-jmm-jgk_0_18424,0.129587,0.441221,0.014155,0.18844,0.0,0.08123,3.2e-05,0.004309,0.000793,0.003994,0.007986,0.001008,0.0,0.000151,0.0,0.003765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-jmm-jgk_180_18424,0.157092,0.335652,0.418792,0.075957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005161,0.0,0.0,0.002798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-jmm-jgk_270_18424,0.099827,0.445562,0.331841,0.106948,0.0,0.015823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-jmm-jgk_90_18424,0.226853,0.297117,0.371851,0.100789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
